County,Year,Age, Female Population , Male Population , Total Population , Female Voters , Male Voters , Unknown Voters , Total Voters , Female Ballots , Male Ballots , Unknown Ballots , Total Ballots ,Female Registered Population,Male Registered Population,Total Registered Population,Female Pop Turnout,Male Pop Turnout,Total Pop Turnout,Female Voter Turnout, Male Voter Turnout ,Total Voter Turnout
Yakima,2014,35-44," 15,943 "," 14,853 "," 30,796 "," 8,359 "," 7,057 ",," 15,416 "," 2,821 "," 2,501 ", 1 ," 5,323 ",52.4%,47.5%,50.1%,17.7%,16.8%,17.3%,33.7%,35.4%,34.5%
Yakima,2014,45-54," 14,614 "," 14,277 "," 28,891 "," 9,052 "," 8,096 ",," 17,148 "," 4,059 "," 3,914 ", 1 ," 7,974 ",61.9%,56.7%,59.4%,27.8%,27.4%,27.6%,44.8%,48.3%,46.5%
Yakima,2014,55-64," 14,022 "," 13,264 "," 27,286 "," 10,313 "," 9,203 ",," 19,516 "," 6,482 "," 5,947 ",," 12,429 ",73.5%,69.4%,71.5%,46.2%,44.8%,45.6%,62.9%,64.6%,63.7%
Yakima,2014,65-," 17,567 "," 15,071 "," 32,638 "," 13,574 "," 11,570 ",," 25,144 "," 9,965 "," 8,918 ",," 18,883 ",77.3%,76.8%,77.0%,56.7%,59.2%,57.9%,73.4%,77.1%,75.1%
zWashington State,2014,0TOTAL," 2,718,082 "," 2,661,690 "," 5,379,772 "," 2,036,444 "," 1,863,997 "," 2,357 "," 3,902,798 "," 1,104,048 "," 1,018,792 "," 1,038 "," 2,123,878 ",74.9%,70.0%,72.5%,40.6%,38.3%,39.5%,54.2%,54.7%,54.4%
zWashington State,2014,18-24," 320,157 "," 338,622 "," 658,779 "," 171,396 "," 165,116 ", 389 ," 336,901 "," 43,893 "," 40,761 ", 101 ," 84,755 ",53.5%,48.8%,51.1%,13.7%,12.0%,12.9%,25.6%,24.7%,25.2%
zWashington State,2014,25-34," 472,486 "," 494,095 "," 966,581 "," 328,803 "," 302,403 ", 423 ," 631,629 "," 104,958 "," 94,405 ", 119 ," 199,482 ",69.6%,61.2%,65.3%,22.2%,19.1%,20.6%,31.9%,31.2%,31.6%
zWashington State,2014,35-44," 449,687 "," 459,697 "," 909,384 "," 320,526 "," 298,470 ", 376 ," 619,372 "," 138,748 "," 128,853 ", 138 ," 267,739 ",71.3%,64.9%,68.1%,30.9%,28.0%,29.4%,43.3%,43.2%,43.2%
zWashington State,2014,45-54," 474,574 "," 475,910 "," 950,484 "," 363,648 "," 342,266 ", 362 ," 706,276 "," 196,209 "," 187,205 ", 156 ," 383,570 ",76.6%,71.9%,74.3%,41.3%,39.3%,40.4%,54.0%,54.7%,54.3%
zWashington State,2014,55-64," 466,454 "," 445,255 "," 911,709 "," 391,664 "," 359,133 ", 377 ," 751,174 "," 265,371 "," 247,246 ", 218 ," 512,835 ",84.0%,80.7%,82.4%,56.9%,55.5%,56.2%,67.8%,68.8%,68.3%
zWashington State,2014,65-," 534,724 "," 448,111 "," 982,835 "," 460,407 "," 396,609 ", 430 ," 857,446 "," 354,869 "," 320,322 ", 306 ," 675,497 ",86.1%,88.5%,87.2%,66.4%,71.5%,68.7%,77.1%,80.8%,78.8%
Adams,2013,0TOTAL," 5,985 "," 6,140 "," 12,125 "," 3,333 "," 2,995 ", -   ," 6,328 "," 1,556 "," 1,401 ", -   ," 2,957 ",55.7%,48.8%,52.2%,26.0%,22.8%,24.4%,46.7%,46.8%,46.7%
Adams,2013,18-24, 900 ," 1,043 "," 1,942 ", 336 , 337 , -   , 673 , 62 , 64 ,, 126 ,37.3%,32.3%,34.6%,6.9%,6.1%,6.5%,18.5%,19.0%,18.7%
Adams,2013,25-34," 1,219 "," 1,239 "," 2,458 ", 506 , 399 , -   , 905 , 122 , 78 ,, 200 ,41.5%,32.2%,36.8%,10.0%,6.3%,8.1%,24.1%,19.5%,22.1%
Adams,2013,35-44," 1,164 "," 1,223 "," 2,388 ", 511 , 419 , -   , 930 , 136 , 124 ,, 260 ,43.9%,34.2%,39.0%,11.7%,10.1%,10.9%,26.6%,29.6%,28.0%
Adams,2013,45-54, 897 , 935 ," 1,831 ", 533 , 491 , -   ," 1,024 ", 248 , 202 ,, 450 ,59.4%,52.5%,55.9%,27.7%,21.6%,24.6%,46.5%,41.1%,43.9%
Adams,2013,55-64, 843 , 815 ," 1,658 ", 649 , 597 , -   ," 1,246 ", 413 , 374 ,, 787 ,77.0%,73.3%,75.1%,49.0%,45.9%,47.5%,63.6%,62.6%,63.2%
Adams,2013,65-, 962 , 885 ," 1,847 ", 798 , 752 , -   ," 1,550 ", 575 , 559 ,," 1,134 ",82.9%,85.0%,83.9%,59.7%,63.2%,61.4%,72.1%,74.3%,73.2%
Asotin,2013,0TOTAL," 8,924 "," 8,374 "," 17,298 "," 7,410 "," 6,378 ", 17 ," 13,805 "," 3,367 "," 3,031 ", 6 ," 6,404 ",83.0%,76.2%,79.8%,37.7%,36.2%,37.0%,45.4%,47.5%,46.4%
Asotin,2013,18-24, 838 , 796 ," 1,634 ", 574 , 500 , 1 ," 1,075 ", 76 , 68 ,, 144 ,68.5%,62.8%,65.8%,9.1%,8.5%,8.8%,13.2%,13.6%,13.4%
Asotin,2013,25-34," 1,238 "," 1,132 "," 2,370 ", 997 , 836 , 2 ," 1,835 ", 142 , 125 ,, 267 ,80.5%,73.8%,77.4%,11.5%,11.0%,11.3%,14.2%,15.0%,14.6%
Asotin,2013,35-44," 1,149 "," 1,098 "," 2,247 ", 978 , 815 , 3 ," 1,796 ", 246 , 213 , 1 , 460 ,85.1%,74.2%,79.9%,21.4%,19.4%,20.5%,25.2%,26.1%,25.6%
Asotin,2013,45-54," 1,533 "," 1,420 "," 2,953 "," 1,172 "," 1,025 ", 5 ," 2,202 ", 473 , 429 , 2 , 904 ,76.5%,72.2%,74.6%,30.9%,30.2%,30.6%,40.4%,41.9%,41.1%
Asotin,2013,55-64," 1,746 "," 1,651 "," 3,397 "," 1,473 "," 1,321 ", 2 ," 2,796 ", 875 , 798 , 1 ," 1,674 ",84.4%,80.0%,82.3%,50.1%,48.3%,49.3%,59.4%,60.4%,59.9%
Asotin,2013,65-," 2,421 "," 2,276 "," 4,697 "," 2,216 "," 1,881 ", 4 ," 4,101 "," 1,555 "," 1,398 ", 2 ," 2,955 ",91.5%,82.6%,87.3%,64.2%,61.4%,62.9%,70.2%,74.3%,72.1%
Benton,2013,0TOTAL," 68,239 "," 66,874 "," 135,113 "," 50,526 "," 46,658 ", 587 ," 97,771 "," 21,896 "," 20,845 ", 155 ," 42,896 ",74.0%,69.8%,72.4%,32.1%,31.2%,31.7%,43.3%,44.7%,43.9%
Benton,2013,18-24," 8,188 "," 8,386 "," 16,573 "," 4,843 "," 4,660 ", 103 ," 9,606 ", 754 , 724 , 20 ," 1,498 ",59.1%,55.6%,58.0%,9.2%,8.6%,9.0%,15.6%,15.5%,15.6%
Benton,2013,25-34," 11,941 "," 12,349 "," 24,290 "," 8,157 "," 7,206 ", 147 ," 15,510 "," 1,631 "," 1,456 ", 24 ," 3,111 ",68.3%,58.4%,63.9%,13.7%,11.8%,12.8%,20.0%,20.2%,20.1%
Benton,2013,35-44," 11,288 "," 11,419 "," 22,707 "," 7,559 "," 6,931 ", 105 ," 14,595 "," 2,222 "," 2,060 ", 29 ," 4,311 ",67.0%,60.7%,64.3%,19.7%,18.0%,19.0%,29.4%,29.7%,29.5%
Benton,2013,45-54," 12,341 "," 12,147 "," 24,488 "," 9,275 "," 8,549 ", 67 ," 17,891 "," 3,966 "," 3,621 ", 21 ," 7,608 ",75.2%,70.4%,73.1%,32.1%,29.8%,31.1%,42.8%,42.4%,42.5%
Benton,2013,55-64," 11,696 "," 11,676 "," 23,372 "," 9,866 "," 9,633 ", 89 ," 19,588 "," 5,877 "," 5,831 ", 33 ," 11,741 ",84.4%,82.5%,83.8%,50.2%,49.9%,50.2%,59.6%,60.5%,59.9%
Benton,2013,65-," 12,785 "," 10,897 "," 23,682 "," 10,826 "," 9,679 ", 76 ," 20,581 "," 7,446 "," 7,153 ", 28 ," 14,627 ",84.7%,88.8%,86.9%,58.2%,65.6%,61.8%,68.8%,73.9%,71.1%
Chelan,2013,0TOTAL," 28,306 "," 27,589 "," 55,894 "," 20,489 "," 18,626 ", 424 ," 39,539 "," 10,275 "," 9,237 ", 196 ," 19,708 ",72.4%,67.5%,70.7%,36.3%,33.5%,35.3%,50.1%,49.6%,49.8%
Chelan,2013,18-24," 3,035 "," 3,215 "," 6,250 "," 1,697 "," 1,583 ", 28 ," 3,308 ", 277 , 271 , 6 , 554 ,55.9%,49.2%,52.9%,9.1%,8.4%,8.9%,16.3%,17.1%,16.7%
Chelan,2013,25-34," 4,159 "," 4,408 "," 8,567 "," 2,801 "," 2,437 ", 83 ," 5,321 ", 633 , 515 , 20 ," 1,168 ",67.3%,55.3%,62.1%,15.2%,11.7%,13.6%,22.6%,21.1%,22.0%
Chelan,2013,35-44," 4,231 "," 4,144 "," 8,375 "," 2,488 "," 2,380 ", 70 ," 4,938 ", 878 , 796 , 30 ," 1,704 ",58.8%,57.4%,59.0%,20.8%,19.2%,20.3%,35.3%,33.4%,34.5%
Chelan,2013,45-54," 5,005 "," 4,874 "," 9,879 "," 3,396 "," 3,148 ", 75 ," 6,619 "," 1,562 "," 1,417 ", 29 ," 3,008 ",67.9%,64.6%,67.0%,31.2%,29.1%,30.4%,46.0%,45.0%,45.4%
Chelan,2013,55-64," 5,221 "," 5,136 "," 10,357 "," 4,424 "," 4,036 ", 79 ," 8,539 "," 2,803 "," 2,483 ", 40 ," 5,326 ",84.7%,78.6%,82.4%,53.7%,48.3%,51.4%,63.4%,61.5%,62.4%
Chelan,2013,65-," 6,655 "," 5,811 "," 12,466 "," 5,683 "," 5,042 ", 89 ," 10,814 "," 4,122 "," 3,755 ", 71 ," 7,948 ",85.4%,86.8%,86.7%,61.9%,64.6%,63.8%,72.5%,74.5%,73.5%
Clallam,2013,0TOTAL," 30,333 "," 29,336 "," 59,669 "," 24,992 "," 22,023 ", 2 ," 47,017 "," 13,264 "," 11,638 ", 1 ," 24,903 ",82.4%,75.1%,78.8%,43.7%,39.7%,41.7%,53.1%,52.8%,53.0%
Clallam,2013,18-24," 2,348 "," 2,993 "," 5,341 "," 1,442 "," 1,472 ",," 2,914 ", 243 , 267 ,, 510 ,61.4%,49.2%,54.6%,10.4%,8.9%,9.5%,16.9%,18.1%,17.5%
Clallam,2013,25-34," 3,411 "," 3,959 "," 7,369 "," 2,593 "," 2,365 ",," 4,958 ", 522 , 471 ,, 993 ,76.0%,59.7%,67.3%,15.3%,11.9%,13.5%,20.1%,19.9%,20.0%
Clallam,2013,35-44," 3,418 "," 3,603 "," 7,022 "," 2,521 "," 2,226 ",," 4,747 ", 772 , 643 ,," 1,415 ",73.8%,61.8%,67.6%,22.6%,17.8%,20.2%,30.6%,28.9%,29.8%
Clallam,2013,45-54," 4,586 "," 4,345 "," 8,930 "," 3,626 "," 2,979 ",," 6,605 "," 1,636 "," 1,242 ",," 2,878 ",79.1%,68.6%,74.0%,35.7%,28.6%,32.2%,45.1%,41.7%,43.6%
Clallam,2013,55-64," 6,469 "," 5,649 "," 12,119 "," 5,655 "," 4,797 ", 2 ," 10,454 "," 3,597 "," 2,933 ", 1 ," 6,531 ",87.4%,84.9%,86.3%,55.6%,51.9%,53.9%,63.6%,61.1%,62.5%
Clallam,2013,65-," 10,101 "," 8,787 "," 18,888 "," 9,155 "," 8,184 ",," 17,339 "," 6,494 "," 6,082 ",," 12,576 ",90.6%,93.1%,91.8%,64.3%,69.2%,66.6%,70.9%,74.3%,72.5%
Clark,2013,0TOTAL," 166,947 "," 158,772 "," 325,719 "," 128,146 "," 115,008 ", -   ," 243,154 "," 48,590 "," 44,242 ", -   ," 92,832 ",76.8%,72.4%,74.7%,29.1%,27.9%,28.5%,37.9%,38.5%,38.2%
Clark,2013,18-24," 18,894 "," 19,203 "," 38,097 "," 11,538 "," 11,108 ",," 22,646 "," 1,686 "," 1,650 ",," 3,336 ",61.1%,57.8%,59.4%,8.9%,8.6%,8.8%,14.6%,14.9%,14.7%
Clark,2013,25-34," 27,668 "," 27,053 "," 54,721 "," 19,292 "," 16,880 ",," 36,172 "," 3,526 "," 2,939 ",," 6,465 ",69.7%,62.4%,66.1%,12.7%,10.9%,11.8%,18.3%,17.4%,17.9%
Clark,2013,35-44," 29,785 "," 29,494 "," 59,280 "," 21,771 "," 19,620 ",," 41,391 "," 5,668 "," 5,095 ",," 10,763 ",73.1%,66.5%,69.8%,19.0%,17.3%,18.2%,26.0%,26.0%,26.0%
Clark,2013,45-54," 30,922 "," 30,352 "," 61,274 "," 23,955 "," 21,969 ",," 45,924 "," 8,400 "," 7,837 ",," 16,237 ",77.5%,72.4%,74.9%,27.2%,25.8%,26.5%,35.1%,35.7%,35.4%
Clark,2013,55-64," 28,946 "," 27,055 "," 56,001 "," 24,420 "," 22,045 ",," 46,465 "," 12,183 "," 11,132 ",," 23,315 ",84.4%,81.5%,83.0%,42.1%,41.1%,41.6%,49.9%,50.5%,50.2%
Clark,2013,65-," 30,732 "," 25,615 "," 56,346 "," 27,170 "," 23,386 ",," 50,556 "," 17,127 "," 15,589 ",," 32,716 ",88.4%,91.3%,89.7%,55.7%,60.9%,58.1%,63.0%,66.7%,64.7%
Columbia,2013,0TOTAL," 1,666 "," 1,662 "," 3,328 "," 1,418 "," 1,283 ", -   ," 2,701 ", 764 , 696 , -   ," 1,460 ",85.1%,77.2%,81.2%,45.9%,41.9%,43.9%,53.9%,54.2%,54.1%
Columbia,2013,18-24, 133 , 134 , 267 , 92 , 88 ,, 180 , 18 , 13 ,, 31 ,69.1%,65.8%,67.4%,13.5%,9.7%,11.6%,19.6%,14.8%,17.2%
Columbia,2013,25-34, 158 , 170 , 328 , 165 , 120 ,, 285 , 46 , 27 ,, 73 ,104.7%,70.5%,86.9%,29.2%,15.9%,22.3%,27.9%,22.5%,25.6%
Columbia,2013,35-44, 196 , 207 , 403 , 146 , 141 ,, 287 , 48 , 41 ,, 89 ,74.4%,68.2%,71.2%,24.5%,19.8%,22.1%,32.9%,29.1%,31.0%
Columbia,2013,45-54, 299 , 296 , 595 , 229 , 211 ,, 440 , 112 , 99 ,, 211 ,76.6%,71.2%,73.9%,37.5%,33.4%,35.4%,48.9%,46.9%,48.0%
Columbia,2013,55-64, 342 , 352 , 693 , 317 , 292 ,, 609 , 203 , 190 ,, 393 ,92.8%,83.0%,87.8%,59.4%,54.0%,56.7%,64.0%,65.1%,64.5%
Columbia,2013,65-, 539 , 503 ," 1,042 ", 469 , 431 ,, 900 , 337 , 326 ,, 663 ,87.1%,85.7%,86.4%,62.6%,64.8%,63.6%,71.9%,75.6%,73.7%
Cowlitz,2013,0TOTAL," 40,538 "," 38,899 "," 79,437 "," 30,298 "," 27,543 ", 2 ," 57,843 "," 11,836 "," 10,816 ", -   ," 22,652 ",74.7%,70.8%,72.8%,29.2%,27.8%,28.5%,39.1%,39.3%,39.2%
Cowlitz,2013,18-24," 4,473 "," 4,468 "," 8,941 "," 2,521 "," 2,357 ",," 4,878 ", 357 , 331 ,, 688 ,56.4%,52.7%,54.6%,8.0%,7.4%,7.7%,14.2%,14.0%,14.1%
Cowlitz,2013,25-34," 5,981 "," 5,931 "," 11,913 "," 3,861 "," 3,515 ",," 7,376 ", 592 , 515 ,," 1,107 ",64.5%,59.3%,61.9%,9.9%,8.7%,9.3%,15.3%,14.7%,15.0%
Cowlitz,2013,35-44," 6,154 "," 6,106 "," 12,261 "," 4,299 "," 3,840 ", 1 ," 8,140 ", 979 , 831 ,," 1,810 ",69.9%,62.9%,66.4%,15.9%,13.6%,14.8%,22.8%,21.6%,22.2%
Cowlitz,2013,45-54," 7,083 "," 7,163 "," 14,246 "," 5,310 "," 4,802 ",," 10,112 "," 1,752 "," 1,482 ",," 3,234 ",75.0%,67.0%,71.0%,24.7%,20.7%,22.7%,33.0%,30.9%,32.0%
Cowlitz,2013,55-64," 7,398 "," 7,215 "," 14,613 "," 6,208 "," 5,780 ", 1 ," 11,989 "," 3,128 "," 2,826 ",," 5,954 ",83.9%,80.1%,82.0%,42.3%,39.2%,40.7%,50.4%,48.9%,49.7%
Cowlitz,2013,65-," 9,450 "," 8,015 "," 17,464 "," 8,099 "," 7,249 ",," 15,348 "," 5,028 "," 4,831 ",," 9,859 ",85.7%,90.4%,87.9%,53.2%,60.3%,56.5%,62.1%,66.6%,64.2%
Douglas,2013,0TOTAL," 14,672 "," 14,418 "," 29,090 "," 10,013 "," 9,123 ", 385 ," 19,521 "," 4,659 "," 4,301 ", 165 ," 9,125 ",68.2%,63.3%,67.1%,31.8%,29.8%,31.4%,46.5%,47.1%,46.7%
Douglas,2013,18-24," 1,727 "," 1,815 "," 3,542 ", 865 , 792 , 24 ," 1,681 ", 134 , 108 , 4 , 246 ,50.1%,43.6%,47.5%,7.8%,6.0%,6.9%,15.5%,13.6%,14.6%
Douglas,2013,25-34," 2,346 "," 2,462 "," 4,807 "," 1,323 "," 1,173 ", 49 ," 2,545 ", 235 , 222 , 8 , 465 ,56.4%,47.6%,52.9%,10.0%,9.0%,9.7%,17.8%,18.9%,18.3%
Douglas,2013,35-44," 2,372 "," 2,358 "," 4,730 "," 1,363 "," 1,250 ", 75 ," 2,688 ", 367 , 334 , 20 , 721 ,57.5%,53.0%,56.8%,15.5%,14.2%,15.2%,26.9%,26.7%,26.8%
Douglas,2013,45-54," 2,516 "," 2,524 "," 5,040 "," 1,718 "," 1,515 ", 63 ," 3,296 ", 723 , 631 , 27 ," 1,381 ",68.3%,60.0%,65.4%,28.7%,25.0%,27.4%,42.1%,41.7%,41.9%
Douglas,2013,55-64," 2,533 "," 2,481 "," 5,015 "," 2,046 "," 1,924 ", 64 ," 4,034 "," 1,255 "," 1,143 ", 33 ," 2,431 ",80.8%,77.5%,80.4%,49.5%,46.1%,48.5%,61.3%,59.4%,60.3%
Douglas,2013,65-," 3,178 "," 2,778 "," 5,956 "," 2,698 "," 2,469 ", 110 ," 5,277 "," 1,945 "," 1,863 ", 73 ," 3,881 ",84.9%,88.9%,88.6%,61.2%,67.1%,65.2%,72.1%,75.5%,73.5%
Ferry,2013,0TOTAL," 3,005 "," 3,210 "," 6,215 "," 2,260 "," 2,205 ", -   ," 4,465 "," 1,221 "," 1,180 ", -   ," 2,401 ",75.2%,68.7%,71.8%,40.6%,36.8%,38.6%,54.0%,53.5%,53.8%
Ferry,2013,18-24, 285 , 409 , 694 , 138 , 175 ,, 313 , 26 , 30 ,, 56 ,48.4%,42.8%,45.1%,9.1%,7.3%,8.1%,18.8%,17.1%,17.9%
Ferry,2013,25-34, 302 , 331 , 633 , 228 , 214 ,, 442 , 50 , 45 ,, 95 ,75.6%,64.6%,69.8%,16.6%,13.6%,15.0%,21.9%,21.0%,21.5%
Ferry,2013,35-44, 352 , 369 , 721 , 266 , 241 ,, 507 , 86 , 73 ,, 159 ,75.5%,65.4%,70.3%,24.4%,19.8%,22.1%,32.3%,30.3%,31.4%
Ferry,2013,45-54, 540 , 496 ," 1,036 ", 382 , 306 ,, 688 , 187 , 133 ,, 320 ,70.8%,61.7%,66.4%,34.7%,26.8%,30.9%,49.0%,43.5%,46.5%
Ferry,2013,55-64, 708 , 748 ," 1,456 ", 583 , 564 ,," 1,147 ", 379 , 357 ,, 736 ,82.4%,75.4%,78.8%,53.6%,47.7%,50.6%,65.0%,63.3%,64.2%
Ferry,2013,65-, 819 , 857 ," 1,676 ", 663 , 705 ,," 1,368 ", 493 , 542 ,," 1,035 ",81.0%,82.2%,81.6%,60.2%,63.2%,61.8%,74.4%,76.9%,75.7%
Franklin,2013,0TOTAL," 27,198 "," 29,125 "," 56,323 "," 15,369 "," 14,130 ", 296 ," 29,795 "," 6,379 "," 6,029 ", 103 ," 12,511 ",56.5%,48.5%,52.9%,23.5%,20.7%,22.2%,41.5%,42.7%,42.0%
Franklin,2013,18-24," 4,017 "," 4,430 "," 8,447 "," 1,800 "," 1,668 ", 14 ," 3,482 ", 266 , 246 ,, 512 ,44.8%,37.7%,41.2%,6.6%,5.6%,6.1%,14.8%,14.7%,14.7%
Franklin,2013,25-34," 6,412 "," 7,128 "," 13,541 "," 3,304 "," 2,858 ", 50 ," 6,212 ", 720 , 649 , 11 ," 1,380 ",51.5%,40.1%,45.9%,11.2%,9.1%,10.2%,21.8%,22.7%,22.2%
Franklin,2013,35-44," 5,519 "," 5,989 "," 11,508 "," 2,643 "," 2,412 ", 50 ," 5,105 ", 844 , 785 , 10 ," 1,639 ",47.9%,40.3%,44.4%,15.3%,13.1%,14.2%,31.9%,32.5%,32.1%
Franklin,2013,45-54," 4,222 "," 4,609 "," 8,831 "," 2,331 "," 2,195 ", 67 ," 4,593 "," 1,039 ", 989 , 18 ," 2,046 ",55.2%,47.6%,52.0%,24.6%,21.5%,23.2%,44.6%,45.1%,44.5%
Franklin,2013,55-64," 3,542 "," 3,775 "," 7,317 "," 2,615 "," 2,521 ", 51 ," 5,187 "," 1,599 "," 1,553 ", 26 ," 3,178 ",73.8%,66.8%,70.9%,45.1%,41.1%,43.4%,61.1%,61.6%,61.3%
Franklin,2013,65-," 3,486 "," 3,194 "," 6,680 "," 2,676 "," 2,476 ", 64 ," 5,216 "," 1,911 "," 1,807 ", 38 ," 3,756 ",76.8%,77.5%,78.1%,54.8%,56.6%,56.2%,71.4%,73.0%,72.0%
Garfield,2013,0TOTAL, 922 , 887 ," 1,809 ", 819 , 746 , -   ," 1,565 ", 521 , 469 , -   , 990 ,88.8%,84.1%,86.5%,56.5%,52.9%,54.7%,63.6%,62.9%,63.3%
Garfield,2013,18-24, 56 , 77 , 132 , 53 , 66 ,, 119 , 7 , 22 ,, 29 ,94.8%,86.2%,89.8%,12.5%,28.7%,21.9%,13.2%,33.3%,24.4%
Garfield,2013,25-34, 86 , 85 , 171 , 96 , 88 ,, 184 , 37 , 30 ,, 67 ,111.0%,103.7%,107.4%,42.8%,35.4%,39.1%,38.5%,34.1%,36.4%
Garfield,2013,35-44, 120 , 117 , 237 , 93 , 91 ,, 184 , 57 , 51 ,, 108 ,77.4%,77.6%,77.5%,47.4%,43.5%,45.5%,61.3%,56.0%,58.7%
Garfield,2013,45-54, 152 , 149 , 301 , 127 , 103 ,, 230 , 73 , 61 ,, 134 ,83.5%,69.3%,76.5%,48.0%,41.1%,44.6%,57.5%,59.2%,58.3%
Garfield,2013,55-64, 207 , 207 , 414 , 199 , 173 ,, 372 , 154 , 130 ,, 284 ,96.0%,83.5%,89.7%,74.3%,62.7%,68.5%,77.4%,75.1%,76.3%
Garfield,2013,65-, 300 , 252 , 552 , 251 , 225 ,, 476 , 193 , 175 ,, 368 ,83.7%,89.2%,86.2%,64.3%,69.4%,66.6%,76.9%,77.8%,77.3%
Grant,2013,0TOTAL," 31,470 "," 32,809 "," 64,279 "," 19,363 "," 17,645 ", 7 ," 37,015 "," 8,364 "," 7,770 ", 1 ," 16,135 ",61.5%,53.8%,57.6%,26.6%,23.7%,25.1%,43.2%,44.0%,43.6%
Grant,2013,18-24," 4,180 "," 4,863 "," 9,043 "," 2,003 "," 1,829 ", 1 ," 3,833 ", 283 , 270 ,, 553 ,47.9%,37.6%,42.4%,6.8%,5.6%,6.1%,14.1%,14.8%,14.4%
Grant,2013,25-34," 5,832 "," 6,472 "," 12,304 "," 2,990 "," 2,614 ", 1 ," 5,605 ", 548 , 507 ,," 1,055 ",51.3%,40.4%,45.6%,9.4%,7.8%,8.6%,18.3%,19.4%,18.8%
Grant,2013,35-44," 5,367 "," 5,643 "," 11,010 "," 2,654 "," 2,359 ", 4 ," 5,017 ", 774 , 705 , 1 ," 1,480 ",49.5%,41.8%,45.6%,14.4%,12.5%,13.4%,29.2%,29.9%,29.5%
Grant,2013,45-54," 5,186 "," 5,470 "," 10,656 "," 3,231 "," 2,944 ",," 6,175 "," 1,311 "," 1,175 ",," 2,486 ",62.3%,53.8%,57.9%,25.3%,21.5%,23.3%,40.6%,39.9%,40.3%
Grant,2013,55-64," 4,892 "," 4,902 "," 9,793 "," 3,558 "," 3,415 ", 1 ," 6,974 "," 2,073 "," 1,963 ",," 4,036 ",72.7%,69.7%,71.2%,42.4%,40.0%,41.2%,58.3%,57.5%,57.9%
Grant,2013,65-," 6,014 "," 5,459 "," 11,473 "," 4,927 "," 4,484 ",," 9,411 "," 3,375 "," 3,150 ",," 6,525 ",81.9%,82.1%,82.0%,56.1%,57.7%,56.9%,68.5%,70.2%,69.3%
Grays Harbor,2013,0TOTAL," 28,080 "," 29,853 "," 57,933 "," 19,853 "," 17,948 ", 37 ," 37,838 "," 9,723 "," 8,569 ", 8 ," 18,300 ",70.7%,60.1%,65.3%,34.6%,28.7%,31.6%,49.0%,47.7%,48.4%
Grays Harbor,2013,18-24," 2,947 "," 3,381 "," 6,328 "," 1,479 "," 1,502 ", 10 ," 2,991 ", 239 , 240 ,, 479 ,50.2%,44.4%,47.3%,8.1%,7.1%,7.6%,16.2%,16.0%,16.0%
Grays Harbor,2013,25-34," 3,991 "," 4,984 "," 8,975 "," 2,433 "," 2,155 ", 4 ," 4,592 ", 504 , 395 , 2 , 901 ,61.0%,43.2%,51.2%,12.6%,7.9%,10.0%,20.7%,18.3%,19.6%
Grays Harbor,2013,35-44," 3,866 "," 4,585 "," 8,451 "," 2,487 "," 2,255 ", 5 ," 4,747 ", 735 , 625 , 1 ," 1,361 ",64.3%,49.2%,56.2%,19.0%,13.6%,16.1%,29.6%,27.7%,28.7%
Grays Harbor,2013,45-54," 4,830 "," 5,217 "," 10,047 "," 3,300 "," 2,929 ", 8 ," 6,237 "," 1,452 "," 1,214 ", 2 ," 2,668 ",68.3%,56.1%,62.1%,30.1%,23.3%,26.6%,44.0%,41.4%,42.8%
Grays Harbor,2013,55-64," 5,548 "," 5,502 "," 11,050 "," 4,396 "," 3,947 ", 5 ," 8,348 "," 2,634 "," 2,339 ", 1 ," 4,974 ",79.2%,71.7%,75.5%,47.5%,42.5%,45.0%,59.9%,59.3%,59.6%
Grays Harbor,2013,65-," 6,898 "," 6,184 "," 13,082 "," 5,758 "," 5,160 ", 5 ," 10,923 "," 4,159 "," 3,756 ", 2 ," 7,917 ",83.5%,83.4%,83.5%,60.3%,60.7%,60.5%,72.2%,72.8%,72.5%
Island,2013,0TOTAL," 32,436 "," 31,165 "," 63,601 "," 26,354 "," 23,889 ", -   ," 50,243 "," 15,300 "," 13,429 ", -   ," 28,729 ",81.3%,76.7%,79.0%,47.2%,43.1%,45.2%,58.1%,56.2%,57.2%
Island,2013,18-24," 3,335 "," 3,946 "," 7,281 "," 1,861 "," 1,785 ",," 3,646 ", 390 , 314 ,, 704 ,55.8%,45.2%,50.1%,11.7%,8.0%,9.7%,21.0%,17.6%,19.3%
Island,2013,25-34," 4,405 "," 5,023 "," 9,428 "," 3,130 "," 2,796 ",," 5,926 ", 718 , 580 ,," 1,298 ",71.1%,55.7%,62.9%,16.3%,11.5%,13.8%,22.9%,20.7%,21.9%
Island,2013,35-44," 4,033 "," 4,010 "," 8,043 "," 2,984 "," 2,810 ",," 5,794 "," 1,172 ", 963 ,," 2,135 ",74.0%,70.1%,72.0%,29.1%,24.0%,26.5%,39.3%,34.3%,36.8%
Island,2013,45-54," 5,270 "," 4,787 "," 10,057 "," 4,198 "," 3,812 ",," 8,010 "," 2,242 "," 1,903 ",," 4,145 ",79.7%,79.6%,79.6%,42.5%,39.8%,41.2%,53.4%,49.9%,51.7%
Island,2013,55-64," 6,610 "," 5,684 "," 12,294 "," 6,023 "," 5,057 ",," 11,080 "," 4,215 "," 3,425 ",," 7,640 ",91.1%,89.0%,90.1%,63.8%,60.3%,62.1%,70.0%,67.7%,69.0%
